Number,Structure,Abbreviation,Label_Num,,,,,,,,,,,
51,_50_Ventral_Claustrum,VCl_R,1050,4524,0.358908401,6.6542726,10.602923,4.5771537,50,0,0,50,50,226200
52,_51_Hippocampus,Hc_L,51,384429,30.49840795,6.0902538,7.7217031,5.6604509,51,0,0,51,51,19605880
52,_51_Hippocampus,Hc_R,1051,384429,30.49840795,6.0902538,7.7217031,5.6604509,51,0,0,51,51,19605880
53,_52_dorsal_tenia_tecta,DTT_L,52,7157,0.567795629,6.1147809,12.605872,4.9519343,52,0,0,52,52,372164
53,_52_dorsal_tenia_tecta,DTT_R,1052,7157,0.567795629,6.1147809,12.605872,4.9519343,52,0,0,52,52,372164
54,_53_ectorhinal_cortex,Ect_L,53,38788,3.077219064,6.1889329,7.4381599,5.4883699,53,0,0,53,53,2055764
54,_53_ectorhinal_cortex,Ect_R,1053,38788,3.077219064,6.1889329,7.4381599,5.4883699,53,0,0,53,53,2055764
55,_54_parasubiculum,PaS_L,54,15874,1.259352774,6.2432647,6.1107688,5.4276495,54,0,0,54,54,857196
55,_54_parasubiculum,PaS_R,1054,15874,1.259352774,6.2432647,6.1107688,5.4276495,54,0,0,54,54,857196
56,_55_perirhinal_cortex,PRh_L,55,30049,2.383916563,6.4173975,7.5207791,4.9563184,55,0,0,55,55,1652695
56,_55_perirhinal_cortex,PRh_R,1055,30049,2.383916563,6.4173975,7.5207791,4.9563184,55,0,0,55,55,1652695
57,_56_presubiculum,PrS_L,56,1893,0.150179841,5.8108807,6.3668118,5.9200678,56,0,0,56,56,106008
57,_56_presubiculum,PrS_R,1056,1893,0.150179841,5.8108807,6.3668118,5.9200678,56,0,0,56,56,106008
58,_57_Piriform_Cortex,Pir_L,57,680527,53.9891373,6.0660005,13.146106,4.7437859,57,0,0,57,57,38790040
58,_57_Piriform_Cortex,Pir_R,1057,680527,53.9891373,6.0660005,13.146106,4.7437859,57,0,0,57,57,38790040
59,_58_Amygdalopiriform_Transition_Area,APir_L,58,3952,0.313529178,5.8017483,7.7915173,2.9204636,58,0,0,58,58,229216
59,_58_Amygdalopiriform_Transition_Area,APir_R,1058,3952,0.313529178,5.8017483,7.7915173,2.9204636,58,0,0,58,58,229216
60,_59_Hypothalamus,Hyp_L,59,119233,9.459267315,6.0911551,9.2408104,3.0323799,59,1.00E-06,1.00E-12,59,59,7034747
60,_59_Hypothalamus,Hyp_R,1059,119233,9.459267315,6.0911551,9.2408104,3.0323799,59,1.00E-06,1.00E-12,59,59,7034747
61,_60_Preoptic_Telencephalon,Preopt_L,60,69344,5.50135812,6.1363587,11.059151,3.298377,60,0,0,60,60,4160640
61,_60_Preoptic_Telencephalon,Preopt_R,1060,69344,5.50135812,6.1363587,11.059151,3.298377,60,0,0,60,60,4160640
62,_61_Subthalamic_Nucleus,Sthal_L,61,5786,0.459028295,6.2204952,8.5059376,3.7883079,61,0,0,61,61,352946
62,_61_Subthalamic_Nucleus,Sthal_R,1061,5786,0.459028295,6.2204952,8.5059376,3.7883079,61,0,0,61,61,352946
63,_62_Septum,SPT_L,62,86080,6.829097066,6.094461,11.459157,4.4269285,62,0,0,62,62,5336960
63,_62_Septum,SPT_R,1062,86080,6.829097066,6.094461,11.459157,4.4269285,62,0,0,62,62,5336960
64,_63_Globus_Pallidus,GP_L,63,29485,2.339172014,6.1565676,10.030157,4.3692832,63,1.01E-06,1.01E-12,63,63,1857555
64,_63_Globus_Pallidus,GP_R,1063,29485,2.339172014,6.1565676,10.030157,4.3692832,63,1.01E-06,1.01E-12,63,63,1857555
65,_64_Striatum,Cpu_L,64,327351,25.97016442,6.0631309,10.723699,5.1716781,64,0,0,64,64,20950464
65,_64_Striatum,Cpu_R,1064,327351,25.97016442,6.0631309,10.723699,5.1716781,64,0,0,64,64,20950464
66,_65_Amygdala,Amy_L,65,141702,11.24182984,6.1827779,9.074007,3.0880749,65,0,0,65,65,9210630
66,_65_Amygdala,Amy_R,1065,141702,11.24182984,6.1827779,9.074007,3.0880749,65,0,0,65,65,9210630
67,_66_Accumbens,Acb_L,66,55230,4.381633724,6.0818243,12.044892,3.861819,66,0,0,66,66,3645180
67,_66_Accumbens,Acb_R,1066,55230,4.381633724,6.0818243,12.044892,3.861819,66,0,0,66,66,3645180
68,_67_Bed_Nucleus_of_the_Stria_Terminalis,BNst_L,67,6455,0.512102946,5.9384689,10.7548,4.5425758,67,0,0,67,67,432485
68,_67_Bed_Nucleus_of_the_Stria_Terminalis,BNst_R,1067,6455,0.512102946,5.9384689,10.7548,4.5425758,67,0,0,67,67,432485
69,_68_Ventral_Pallidum,Vpal_L,68,19736,1.565741864,5.9699039,10.764091,3.4358001,68,0,0,68,68,1342048
69,_68_Ventral_Pallidum,Vpal_R,1068,19736,1.565741864,5.9699039,10.764091,3.4358001,68,0,0,68,68,1342048
70,_69_Periaquaductal_Grey,PAG_L,69,57006,4.522531452,6.1155772,6.2278423,5.9523845,69,0,0,69,69,3933414
70,_69_Periaquaductal_Grey,PAG_R,1069,57006,4.522531452,6.1155772,6.2278423,5.9523845,69,0,0,69,69,3933414
71,_70_Anterior_Pretectal_Nucleus,APT_L,70,9808,0.778110874,6.0592947,7.9309063,5.840981,70,0,0,70,70,686560
71,_70_Anterior_Pretectal_Nucleus,APT_R,1070,9808,0.778110874,6.0592947,7.9309063,5.840981,70,0,0,70,70,686560
72,_71_Ventral_Tegmental_Area,VTA_L,71,4380,0.347484261,6.1535592,7.5119452,3.7967236,71,0,0,71,71,310980
72,_71_Ventral_Tegmental_Area,VTA_R,1071,4380,0.347484261,6.1535592,7.5119452,3.7967236,71,0,0,71,71,310980
73,_72_Thalamus_Rest,ThalRest_L,72,139213,11.04436675,6.1059675,9.1712866,4.923059,72,0,0,72,72,10023336
73,_72_Thalamus_Rest,ThalRest_R,1072,139213,11.04436675,6.1059675,9.1712866,4.923059,72,0,0,72,72,10023336
74,_73_Ventral_Thalamic_Nuclei,VT_L,73,51406,4.078259338,6.1061935,8.8992281,5.1679716,73,0,0,73,73,3752638
74,_73_Ventral_Thalamic_Nuclei,VT_R,1073,51406,4.078259338,6.1061935,8.8992281,5.1679716,73,0,0,73,73,3752638
75,_74_Latero_Dorsal_Nucleus_of_Thalamus,LDNT_L,74,6236,0.494728733,6.1079512,9.4421692,5.9754515,74,0,0,74,74,461464
75,_74_Latero_Dorsal_Nucleus_of_Thalamus,LDNT_R,1074,6236,0.494728733,6.1079512,9.4421692,5.9754515,74,0,0,74,74,461464
76,_75_Medial_Geniculate_Nucleus,MGN_L,75,8990,0.713215412,6.1286993,7.5977473,5.2990832,75,0,0,75,75,674250
76,_75_Medial_Geniculate_Nucleus,MGN_R,1075,8990,0.713215412,6.1286993,7.5977473,5.2990832,75,0,0,75,75,674250
77,_76_Lateral_Geniculate_Nucleus,LGN_L,76,12554,0.995962878,6.134645,8.3500957,5.8893962,76,0,0,76,76,954104
77,_76_Lateral_Geniculate_Nucleus,LGN_R,1076,12554,0.995962878,6.134645,8.3500957,5.8893962,76,0,0,76,76,954104
78,_77_Zona_Incerta,ZI_L,77,25094,1.990815076,6.184413,8.382658,4.3543143,77,0,0,77,77,1932238
